,Unnamed: 0,3. State Output Emission Rates (eGRID2016),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,State,Total output emission rates,,,,,,
1,,,(lb/MWh),,,,,,
2,,,CO2,CH4,N2O,CO2e,Annual NOx,Ozone Season NOx,SO2
3,,AK,925.862,0.063,0.009,930.013,6.632,6.498,0.552
4,,AL,912.917,0.069,0.01,917.468,0.418,0.389,0.404
5,,AR,1115.65,0.105,0.015,1122.593,0.924,0.948,1.611
6,,AZ,932.225,0.067,0.011,937.072,0.625,0.603,0.238
7,,CA,452.541,0.026,0.003,454.059,0.475,0.446,0.037
8,,CO,1468.373,0.146,0.021,1477.945,1.12,1.127,0.705
9,,CT,498.467,0.061,0.008,502.135,0.321,0.346,0.035
10,,DC,481.786,0.023,0.002,483.042,4.578,4.551,0.098
11,,DE,887.415,0.033,0.004,889.337,0.397,0.393,0.121
12,,FL,1024.205,0.077,0.01,1028.967,0.546,0.56,0.374
13,,GA,1001.754,0.086,0.013,1007.448,0.446,0.334,0.359
14,,HI,1522.102,0.157,0.024,1532.882,4.492,4.229,7.505
15,,IA,997.858,0.051,0.016,1003.87,0.772,0.903,1.048
16,,ID,188.695,0.008,0.001,189.273,0.267,0.254,0.067
17,,IL,811.318,0.048,0.012,816.041,0.357,0.395,0.954
18,,IN,1812.703,0.185,0.027,1824.905,1.708,1.672,1.733
19,,KS,1195.553,0.129,0.019,1204.056,0.759,0.89,0.301
20,,KY,1954.301,0.189,0.032,1968.084,1.458,1.442,1.905
21,,LA,878.85,0.049,0.007,882.134,0.82,0.896,0.723
22,,MA,821.327,0.101,0.013,827.514,0.523,0.45,0.227
23,,MD,1012.682,0.078,0.017,1019.454,0.621,0.674,0.944
24,,ME,336.964,0.164,0.023,347.62,0.578,0.566,0.289
25,,MI,1099.854,0.063,0.016,1106.015,0.832,0.824,1.539
26,,MN,1012.67,0.123,0.018,1020.283,0.67,0.661,0.582
27,,MO,1687.742,0.122,0.028,1698.955,1.457,1.424,2.545
28,,MS,940.716,0.029,0.006,943.029,0.428,0.494,0.162
29,,MT,1251.022,0.135,0.02,1260.078,1.123,1.147,1.022
30,,NC,867.441,0.08,0.011,872.658,0.558,0.57,0.445
31,,ND,1663.754,0.13,0.027,1674.823,1.98,1.899,2.394
32,,NE,1281.153,0.139,0.021,1290.709,1.129,1.124,2.771
33,,NH,310.564,0.101,0.013,316.792,0.236,0.227,0.079
34,,NJ,557.822,0.034,0.004,559.824,0.235,0.268,0.054
35,,NM,1572.786,0.15,0.022,1582.602,2.353,2.363,0.502
36,,NV,769.912,0.027,0.003,771.539,0.477,0.525,0.159
37,,NY,464.02,0.031,0.004,465.876,0.341,0.383,0.137
38,,OH,1465.96,0.125,0.022,1475.334,1.007,1.007,1.786
39,,OK,1043.716,0.063,0.011,1048.311,0.691,0.751,1.276
40,,OR,305.891,0.02,0.003,307.162,0.352,0.448,0.139
41,,PA,855.444,0.052,0.011,860.046,0.821,0.762,0.959
42,,RI,870.822,0.017,0.002,871.69,0.244,0.195,0.023
43,,SC,629.428,0.025,0.009,632.802,0.282,0.311,0.24
44,,SD,513.316,0.049,0.007,516.562,0.207,0.234,0.142
45,,TN,992.271,0.074,0.015,998.407,0.513,0.562,0.803
46,,TX,1049.527,0.079,0.011,1054.602,0.605,0.633,1.09
47,,UT,1627.372,0.166,0.024,1638.384,1.777,1.676,0.878
48,,VA,813.802,0.083,0.012,818.98,0.557,0.55,0.255
49,,VT,56.89,0.161,0.021,66.825,0.356,0.473,0.013
50,,WA,186.844,0.01,0.003,187.93,0.149,0.173,0.05
51,,WI,1388.88,0.072,0.02,1396.49,0.673,0.69,0.504
52,,WV,1975.757,0.211,0.033,1990.559,1.33,1.289,1.181
53,,WY,2026.26,0.223,0.032,2040.967,1.58,1.614,1.394
54,,U.S.,998.443,0.08,0.013,1004.167,0.721,0.719,0.798
55,,,,,,,,Created:,2018-02-15 00:00:00
